id,yield_class,age,average_height,dbh,taper,trees_per_ha,volume_per_ha
2,7.0,80,20.1,21.8,0.47,1115.0,394.0
2,7.0,90,21.8,24.6,0.464,919.0,444.0
2,7.0,100,23.4,27.4,0.458,766.0,484.0
2,7.0,110,24.6,30.2,0.454,643.0,514.0
2,7.0,120,25.7,32.9,0.448,545.0,535.0
2,6.0,40,8.7,8.9,0.434,3213.0,77.0
2,6.0,50,11.6,11.7,0.481,2461.0,149.0
2,6.0,60,14.2,14.4,0.485,1939.0,220.0
2,6.0,70,16.4,17.1,0.483,1555.0,285.0
2,6.0,80,18.5,19.8,0.475,1266.0,343.0
2,6.0,90,20.2,22.4,0.468,1041.0,390.0
2,6.0,100,21.7,25.0,0.462,864.0,428.0
2,6.0,110,22.9,27.7,0.457,723.0,456.0
2,6.0,120,24.0,30.3,0.451,609.0,476.0
2,5.0,40,7.5,7.3,0.365,3878.0,46.0
2,5.0,50,10.3,9.9,0.47,2944.0,112.0
2,5.0,60,12.7,12.5,0.488,2309.0,177.0
2,5.0,70,14.8,15.0,0.489,1846.0,238.0
2,5.0,80,16.8,17.5,0.48,1496.0,291.0
2,5.0,90,18.4,20.0,0.473,1225.0,336.0
2,5.0,100,19.8,22.5,0.467,1011.0,372.0
2,5.0,110,21.0,25.0,0.461,841.0,399.0
2,5.0,120,22.1,27.4,0.455,705.0,418.0
2,4.0,50,8.8,7.8,0.437,3911.0,72.0
2,4.0,60,11.1,10.1,0.489,2994.0,131.0
2,4.0,70,13.1,12.5,0.495,2361.0,188.0
2,4.0,80,14.9,14.8,0.488,1893.0,238.0
2,4.0,90,16.4,17.2,0.481,1533.0,281.0
2,4.0,100,17.8,19.5,0.474,1254.0,316.0
2,4.0,110,19.0,21.8,0.468,1032.0,343.0
2,4.0,120,20.0,24.1,0.462,855.0,361.0
3,14.0,20,9.5,10.3,0.471,3220.0,121.0
3,14.0,30,14.9,15.5,0.486,1911.0,263.0
3,14.0,40,19.7,20.3,0.475,1325.0,403.0
3,14.0,50,23.8,24.7,0.466,1005.0,535.0
3,14.0,60,27.1,28.8,0.458,807.0,652.0
3,14.0,70,29.8,32.4,0.453,677.0,754.0
3,14.0,80,32.0,35.7,0.449,586.0,841.0
3,14.0,90,33.8,38.5,0.445,520.0,914.0
3,14.0,100,35.2,41.0,0.443,473.0,974.0
3,14.0,110,36.3,43.1,0.441,438.0,1024.0
3,14.0,120,37.2,44.9,0.439,413.0,1066.0
3,14.0,130,37.9,46.2,0.438,396.0,1100.0
3,14.0,140,38.4,47.1,0.437,385.0,1129.0
3,14.0,150,38.9,47.7,0.437,379.0,1152.0
3,13.0,20,9.1,9.7,0.463,3429.0,107.0
3,13.0,30,14.3,14.7,0.488,2027.0,240.0
3,13.0,40,18.9,19.3,0.478,1402.0,372.0
3,13.0,50,22.8,23.6,0.468,1060.0,495.0
3,13.0,60,26.1,27.5,0.46,850.0,606.0
3,13.0,70,28.8,31.0,0.455,710.0,702.0
3,13.0,80,30.9,34.2,0.45,614.0,783.0
3,13.0,90,32.6,37.0,0.447,544.0,852.0
3,13.0,100,34.0,39.4,0.444,493.0,909.0
3,13.0,110,35.1,41.5,0.442,456.0,956.0
3,13.0,120,35.9,43.2,0.44,429.0,995.0
3,13.0,130,36.6,44.5,0.439,410.0,1027.0
3,13.0,140,37.1,45.5,0.438,397.0,1053.0
3,13.0,150,37.6,46.1,0.438,391.0,1076.0
3,12.0,20,8.6,9.1,0.45,3665.0,93.0
3,12.0,30,13.6,13.9,0.489,2158.0,218.0
3,12.0,40,18.0,18.3,0.481,1487.0,341.0
3,12.0,50,21.8,22.4,0.471,1121.0,457.0
3,12.0,60,25.0,26.2,0.463,896.0,560.0
3,12.0,70,27.6,29.6,0.457,747.0,649.0
3,12.0,80,29.7,32.7,0.452,644.0,726.0
3,12.0,90,31.3,35.4,0.448,570.0,790.0
3,12.0,100,32.7,37.8,0.445,515.0,843.0
3,12.0,110,33.8,39.8,0.443,475.0,887.0
3,12.0,120,34.6,41.5,0.441,446.0,924.0
3,12.0,130,35.3,42.9,0.44,425.0,954.0
3,12.0,140,35.8,43.9,0.439,411.0,979.0
3,12.0,150,36.3,44.6,0.439,403.0,1000.0
3,11.0,20,8.1,8.5,0.43,3938.0,77.0
3,11.0,30,12.8,13.1,0.49,2308.0,195.0
3,11.0,40,17.1,17.4,0.483,1584.0,310.0
3,11.0,50,20.8,21.3,0.473,1190.0,417.0
3,11.0,60,23.8,24.9,0.465,949.0,514.0
3,11.0,70,26.3,28.2,0.459,789.0,597.0
3,11.0,80,28.4,31.2,0.454,678.0,668.0
3,11.0,90,30.0,33.9,0.45,598.0,728.0
3,11.0,100,31.3,36.2,0.447,540.0,777.0
3,11.0,110,32.4,38.2,0.445,496.0,819.0
3,11.0,120,33.2,39.9,0.443,464.0,852.0
3,11.0,130,33.9,41.2,0.441,441.0,880.0
3,11.0,140,34.4,42.3,0.44,425.0,904.0
3,11.0,150,34.8,43.0,0.44,416.0,923.0
