tree_type,age,average_height,dbh,trees_per_ha,basal_area
coniferous,70.0,19.5,20.5,1239.0,40.9
coniferous,80.0,21.7,23.5,1011.0,43.9
coniferous,90.0,23.5,26.4,837.0,46.0
coniferous,100.0,25.0,29.4,699.0,47.4
coniferous,110.0,26.3,32.3,589.0,48.3
coniferous,120.0,27.4,35.2,500.0,48.7
coniferous,40.0,9.7,10.2,2832.0,23.4
coniferous,50.0,12.8,13.2,2160.0,29.6
coniferous,60.0,15.6,16.1,1701.0,34.7
coniferous,70.0,18.0,18.9,1367.0,38.6
coniferous,80.0,20.1,21.8,1115.0,41.6
coniferous,90.0,21.8,24.6,919.0,43.7
coniferous,100.0,23.4,27.4,766.0,45.1
coniferous,110.0,24.6,30.2,643.0,46.0
coniferous,120.0,25.7,32.9,545.0,46.4
coniferous,40.0,8.7,8.9,3213.0,20.4
coniferous,50.0,11.6,11.7,2461.0,26.7
coniferous,60.0,14.2,14.4,1939.0,31.8
coniferous,70.0,16.4,17.1,1555.0,35.9
coniferous,80.0,18.5,19.8,1266.0,39.0
coniferous,90.0,20.2,22.4,1041.0,41.2
coniferous,100.0,21.7,25.0,864.0,42.7
coniferous,110.0,22.9,27.7,723.0,43.6
coniferous,120.0,24.0,30.3,609.0,44.1
coniferous,40.0,7.5,7.3,3878.0,16.9
coniferous,50.0,10.3,9.9,2944.0,23.2
coniferous,60.0,12.7,12.5,2309.0,28.5
coniferous,70.0,14.8,15.0,1846.0,32.8
coniferous,80.0,16.8,17.5,1496.0,36.1
coniferous,90.0,18.4,20.0,1225.0,38.5
coniferous,100.0,19.8,22.5,1011.0,40.2
coniferous,110.0,21.0,25.0,841.0,41.2
coniferous,120.0,22.1,27.4,705.0,41.6
coniferous,50.0,8.8,7.8,3911.0,18.6
coniferous,60.0,11.1,10.1,2994.0,24.2
coniferous,70.0,13.1,12.5,2361.0,29.0
coniferous,80.0,14.9,14.8,1893.0,32.7
coniferous,90.0,16.4,17.2,1533.0,35.5
coniferous,100.0,17.8,19.5,1254.0,37.4
coniferous,110.0,19.0,21.8,1032.0,38.6
coniferous,120.0,20.0,24.1,855.0,39.1
coniferous,20.0,9.5,10.3,3220.0,26.9
coniferous,30.0,14.9,15.5,1911.0,36.1
coniferous,40.0,19.7,20.3,1325.0,42.9
coniferous,50.0,23.8,24.7,1005.0,48.3
coniferous,60.0,27.1,28.8,807.0,52.4
coniferous,70.0,29.8,32.4,677.0,55.8
coniferous,80.0,32.0,35.7,586.0,58.5
coniferous,90.0,33.8,38.5,520.0,60.7
coniferous,100.0,35.2,41.0,473.0,62.5
coniferous,110.0,36.3,43.1,438.0,64.0
coniferous,120.0,37.2,44.9,413.0,65.3
coniferous,130.0,37.9,46.2,396.0,66.3
coniferous,140.0,38.4,47.1,385.0,67.1
coniferous,150.0,38.9,47.7,379.0,67.8
coniferous,20.0,9.1,9.7,3429.0,25.4
coniferous,30.0,14.3,14.7,2027.0,34.4
coniferous,40.0,18.9,19.3,1402.0,41.1
coniferous,50.0,22.8,23.6,1060.0,46.3
coniferous,60.0,26.1,27.5,850.0,50.4
coniferous,70.0,28.8,31.0,710.0,53.7
coniferous,80.0,30.9,34.2,614.0,56.3
coniferous,90.0,32.6,37.0,544.0,58.4
coniferous,100.0,34.0,39.4,493.0,60.2
coniferous,110.0,35.1,41.5,456.0,61.7
coniferous,120.0,35.9,43.2,429.0,62.9
coniferous,130.0,36.6,44.5,410.0,63.9
coniferous,140.0,37.1,45.5,397.0,64.7
coniferous,150.0,37.6,46.1,391.0,65.3
coniferous,20.0,8.6,9.1,3665.0,23.9
coniferous,30.0,13.6,13.9,2158.0,32.8
coniferous,40.0,18.0,18.3,1487.0,39.3
coniferous,50.0,21.8,22.4,1121.0,44.4
coniferous,60.0,25.0,26.2,896.0,48.4
coniferous,70.0,27.6,29.6,747.0,51.5
coniferous,80.0,29.7,32.7,644.0,54.1
coniferous,90.0,31.3,35.4,570.0,56.2
coniferous,100.0,32.7,37.8,515.0,57.9
coniferous,110.0,33.8,39.8,475.0,59.3
coniferous,120.0,34.6,41.5,446.0,60.4
coniferous,130.0,35.3,42.9,425.0,61.4
coniferous,140.0,35.8,43.9,411.0,62.2
coniferous,150.0,36.3,44.6,403.0,62.9
coniferous,20.0,8.1,8.5,3938.0,22.3
coniferous,30.0,12.8,13.1,2308.0,31.1
coniferous,40.0,17.1,17.4,1584.0,37.5
coniferous,50.0,20.8,21.3,1190.0,42.4
coniferous,60.0,23.8,24.9,949.0,46.3
coniferous,70.0,26.3,28.2,789.0,49.4
coniferous,80.0,28.4,31.2,678.0,51.8
coniferous,90.0,30.0,33.9,598.0,53.9
coniferous,100.0,31.3,36.2,540.0,55.5
coniferous,110.0,32.4,38.2,496.0,56.8
coniferous,120.0,33.2,39.9,464.0,57.9
coniferous,130.0,33.9,41.2,441.0,58.9
coniferous,140.0,34.4,42.3,425.0,59.6
coniferous,150.0,34.8,43.0,416.0,60.3
coniferous,20.0,7.5,7.9,4254.0,20.8
coniferous,30.0,12.0,12.3,2479.0,29.3
coniferous,40.0,16.1,16.4,1694.0,35.6
coniferous,50.0,19.6,20.1,1268.0,40.4
coniferous,60.0,22.6,23.6,1007.0,44.2
coniferous,70.0,25.0,26.8,835.0,47.1
coniferous,80.0,27.0,29.7,716.0,49.5
coniferous,90.0,28.6,32.3,630.0,51.5
coniferous,100.0,29.9,34.5,566.0,53.0
coniferous,110.0,30.9,36.5,519.0,54.3
coniferous,120.0,31.7,38.2,484.0,55.4
coniferous,130.0,32.4,39.6,458.0,56.3
coniferous,140.0,32.9,40.6,440.0,57.0
coniferous,150.0,33.3,41.4,429.0,57.7
coniferous,20.0,6.9,7.3,4622.0,19.1
coniferous,30.0,11.2,11.4,2675.0,27.5
coniferous,40.0,15.1,15.4,1818.0,33.7
coniferous,50.0,18.5,19.0,1355.0,38.3
coniferous,60.0,21.3,22.3,1073.0,42.0
coniferous,70.0,23.6,25.4,887.0,44.9
coniferous,80.0,25.6,28.2,757.0,47.2
coniferous,90.0,27.1,30.7,664.0,49.0
coniferous,100.0,28.4,32.9,596.0,50.6
coniferous,110.0,29.4,34.8,544.0,51.8
coniferous,120.0,30.2,36.5,506.0,52.8
coniferous,130.0,30.8,37.8,477.0,53.7
coniferous,140.0,31.3,38.9,457.0,54.4
coniferous,150.0,31.7,39.8,443.0,55.0
coniferous,20.0,6.1,6.6,5050.0,17.5
coniferous,30.0,10.2,10.6,2902.0,25.7
coniferous,40.0,13.9,14.3,1961.0,31.7
coniferous,50.0,17.1,17.8,1455.0,36.2
coniferous,60.0,19.9,21.0,1147.0,39.8
coniferous,70.0,22.2,24.0,944.0,42.6
coniferous,80.0,24.0,26.6,804.0,44.8
coniferous,90.0,25.5,29.1,702.0,46.6
coniferous,100.0,26.8,31.2,627.0,48.0
coniferous,110.0,27.7,33.1,571.0,49.2
coniferous,120.0,28.5,34.7,529.0,50.2
coniferous,130.0,29.1,36.2,497.0,51.0
coniferous,140.0,29.6,37.3,474.0,51.7
coniferous,150.0,30.0,38.1,458.0,52.3
coniferous,20.0,5.5,6.0,5565.0,15.8
coniferous,30.0,9.2,9.8,3172.0,23.9
coniferous,40.0,12.7,13.3,2128.0,29.7
coniferous,50.0,15.8,16.6,1571.0,34.2
coniferous,60.0,18.4,19.7,1233.0,37.6
coniferous,70.0,20.6,22.5,1011.0,40.3
coniferous,80.0,22.3,25.1,857.0,42.4
coniferous,90.0,23.8,27.4,746.0,44.1
coniferous,100.0,25.0,29.5,664.0,45.5
coniferous,110.0,25.9,31.4,602.0,46.6
coniferous,120.0,26.7,33.0,555.0,47.6
coniferous,130.0,27.3,34.4,520.0,48.4
coniferous,140.0,27.8,35.6,494.0,49.0
coniferous,150.0,28.2,36.5,476.0,49.6
coniferous,30.0,8.1,9.0,3494.0,22.1
coniferous,40.0,11.4,12.3,2324.0,27.8
coniferous,50.0,14.2,15.5,1704.0,32.0
coniferous,60.0,16.7,18.4,1330.0,35.4
coniferous,70.0,18.8,21.1,1085.0,37.9
coniferous,80.0,20.5,23.6,915.0,40.0
coniferous,90.0,22.0,25.9,793.0,41.6
coniferous,100.0,23.1,27.9,702.0,43.0
coniferous,110.0,24.0,29.7,634.0,44.0
coniferous,120.0,24.8,31.4,582.0,44.9
coniferous,130.0,25.3,32.8,542.0,45.7
coniferous,140.0,25.8,33.9,512.0,46.3
coniferous,150.0,26.2,34.9,490.0,46.9
coniferous,30.0,6.8,8.1,3959.0,20.2
coniferous,40.0,9.7,11.2,2600.0,25.6
coniferous,50.0,12.3,14.2,1890.0,29.8
coniferous,60.0,14.7,16.9,1465.0,33.0
coniferous,70.0,16.7,19.5,1187.0,35.5
coniferous,80.0,18.3,21.9,995.0,37.4
coniferous,90.0,19.6,24.1,857.0,39.0
coniferous,100.0,20.8,26.1,755.0,40.3
coniferous,110.0,21.7,27.9,677.0,41.3
coniferous,120.0,22.4,29.5,618.0,42.1
coniferous,130.0,23.0,30.9,572.0,42.9
coniferous,140.0,23.4,32.1,538.0,43.5
coniferous,150.0,23.8,33.1,512.0,44.0
coniferous,30.0,5.3,7.1,4586.0,18.2
coniferous,40.0,7.8,10.1,2963.0,23.6
coniferous,50.0,10.3,12.8,2130.0,27.6
coniferous,60.0,12.4,15.4,1639.0,30.7
coniferous,70.0,14.3,17.9,1318.0,33.0
coniferous,80.0,15.9,20.1,1098.0,34.9
coniferous,90.0,17.2,22.2,940.0,36.4
coniferous,100.0,18.3,24.1,823.0,37.6
coniferous,110.0,19.1,25.9,734.0,38.5
coniferous,120.0,19.8,27.4,666.0,39.3
coniferous,130.0,20.4,28.8,614.0,40.0
coniferous,140.0,20.8,30.0,573.0,40.6
coniferous,150.0,21.2,31.1,542.0,41.2
coniferous,20.0,7.5,11.2,2910.0,28.6
coniferous,30.0,13.3,16.7,1741.0,38.0
coniferous,40.0,18.8,21.7,1214.0,45.0
coniferous,50.0,23.6,26.4,923.0,50.4
coniferous,60.0,27.6,30.6,743.0,54.7
coniferous,70.0,30.7,34.4,624.0,58.1
coniferous,80.0,33.2,37.8,541.0,60.9
coniferous,90.0,35.2,40.8,483.0,63.2
coniferous,100.0,36.7,43.4,439.0,65.0
coniferous,110.0,37.9,45.6,408.0,66.5
coniferous,120.0,38.8,47.3,385.0,67.8
coniferous,130.0,39.4,48.7,370.0,68.8
coniferous,140.0,39.9,49.6,360.0,69.7
coniferous,150.0,40.3,50.1,356.0,70.4
coniferous,20.0,7.2,10.6,3119.0,27.3
coniferous,30.0,12.8,15.8,1853.0,36.5
coniferous,40.0,18.0,20.7,1288.0,43.3
coniferous,50.0,22.6,25.2,978.0,48.7
coniferous,60.0,26.4,29.3,787.0,52.9
coniferous,70.0,29.5,33.0,660.0,56.3
coniferous,80.0,31.9,36.3,572.0,59.1
coniferous,90.0,33.8,39.2,509.0,61.4
coniferous,100.0,35.3,41.7,463.0,63.2
coniferous,110.0,36.4,43.8,430.0,64.8
coniferous,120.0,37.3,45.5,405.0,66.0
coniferous,130.0,37.9,46.9,389.0,67.1
coniferous,140.0,38.4,47.8,378.0,68.0
coniferous,150.0,38.8,48.4,374.0,68.7
coniferous,20.0,6.9,9.9,3346.0,26.0
coniferous,30.0,12.2,15.0,1971.0,34.9
coniferous,40.0,17.3,19.7,1365.0,41.6
coniferous,50.0,21.7,24.0,1035.0,46.9
coniferous,60.0,25.4,28.0,831.0,51.1
coniferous,70.0,28.3,31.5,697.0,54.4
coniferous,80.0,30.6,34.7,603.0,57.2
coniferous,90.0,32.5,37.6,536.0,59.5
coniferous,100.0,33.9,40.0,487.0,61.3
coniferous,110.0,35.0,42.1,451.0,62.9
coniferous,120.0,35.8,43.8,425.0,64.2
coniferous,130.0,36.4,45.2,407.0,65.3
coniferous,140.0,36.9,46.2,395.0,66.1
coniferous,150.0,37.3,46.8,390.0,66.9
coniferous,20.0,6.5,9.3,3585.0,25.0
coniferous,30.0,11.7,14.2,2093.0,33.2
coniferous,40.0,16.5,18.7,1445.0,39.8
coniferous,50.0,20.8,22.9,1093.0,44.9
coniferous,60.0,24.3,26.7,877.0,49.0
